iter	RMSE
0	343874.836
1	322390.3069
2	302605.4
3	285246.6259
4	269760.4045
5	256330.316
6	244439.8233
7	233572.3937
8	223801.4515
9	214309.9851
10	206226.0553
11	198147.6023
12	190902.4027
13	184655.1276
14	179087.1789
15	174141.7547
16	169531.1043
17	165327.5189
18	161984.98
19	158598.1607
20	155908.0942
21	153203.5278
22	150914.6135
23	148704.4141
24	146357.9747
25	143719.3164
26	141702.1818
27	139920.0317
28	138477.8265
29	136950.0902
30	135450.8383
31	133660.2316
32	132739.3514
33	131796.8856
34	130618.3358
35	129343.9883
36	128685.3605
37	127733.2831
38	126959.3067
39	126347.6677
40	126173.1487
41	125422.8213
42	124971.5961
43	124282.2436
44	124183.3156
45	123780.267
46	123261.2145
47	122771.1074
48	122415.0392
49	121677.3446
50	121242.4175
51	120741.6806
52	120331.6202
53	119490.1343
54	118792.8658
55	118447.2227
56	118172.7497
57	117791.2503
58	117549.38
59	117094.5771
60	116674.937
61	116145.2168
62	115930.1888
63	115544.2006
64	115172.802
65	114868.2336
66	114571.426
67	114241.5782
68	113910.9221
69	113603.4046
70	113440.4833
71	113041.226
72	112723.9373
73	112415.8919
74	112079.9398
75	111665.1134
76	111447.4327
77	111225.7715
78	110756.6304
79	110591.7131
80	110347.8514
81	110170.2647
82	109964.8478
83	109695.5296
84	109238.5968
85	108960.7376
86	108565.4329
87	108287.3548
88	108111.7223
89	107944.6445
90	107587.2931
91	107301.8834
92	107043.1931
93	106849.1218
94	106668.2652
95	106536.4588
96	106332.4121
97	106084.9012
98	105917.3487
99	105811.2934
100	105630.8888
101	105424.9261
102	105174.6662
103	104989.6775
104	104730.4875
105	104583.7053
106	104450.4473
107	104280.972
108	104151.5526
109	103955.7952
110	103748.2934
111	103630.0289
112	103238.8333
113	102998.7631
114	102871.4215
115	102635.5687
116	102315.6701
117	102113.924
118	101916.9779
119	101755.4823
120	101523.7593
121	101346.2111
122	101205.407
123	101103.1456
124	100998.1764
125	100805.1245
126	100677.1287
127	100397.7763
128	100188.0931
129	99991.40166
130	99800.04561
131	99588.5455
132	99427.53211
133	99233.47299
134	99099.19393
135	98931.94676
136	98774.89046
137	98611.42351
138	98490.48933
139	98417.4869
140	98315.92485
141	98040.86506
142	97887.48799
143	97684.69328
144	97520.95946
145	97365.37186
146	97210.22451
147	97109.97573
148	96976.52116
149	96879.93946
150	96630.49233
151	96490.71882
152	96329.84926
153	96184.93286
154	96058.22516
155	95917.42747
156	95850.78257
157	95727.49015
158	95554.00537
159	95469.6438
160	95341.83291
161	95238.57536
162	95114.88729
163	95029.61005
164	94909.36152
165	94779.60027
166	94661.48486
167	94519.57158
168	94362.93918
169	94269.42839
170	94004.35625
171	93809.95871
172	93642.98439
173	93518.23274
174	93307.35777
175	93175.36396
176	93047.63133
177	92851.68526
178	92713.6569
179	92574.80346
180	92470.55163
181	92336.85477
182	92254.5727
183	92128.78405
184	92040.75012
185	91939.36983
186	91829.76897
187	91684.65089
188	91569.5475
189	91432.75289
190	91347.22061
191	91193.15753
192	91089.03809
193	90922.80738
194	90825.25025
195	90738.79846
196	90647.32958
197	90523.17732
198	90418.68667
199	90330.12078
