iter	Passed	Remaining
0	154	30833
1	165	16370
2	173	11388
3	184	9061
4	197	7688
5	205	6646
6	216	5971
7	227	5469
8	235	5006
9	246	4685
10	254	4378
11	262	4119
12	275	3959
13	282	3747
14	293	3623
15	305	3513
16	312	3362
17	325	3294
18	337	3212
19	344	3103
20	356	3041
21	367	2976
22	375	2891
23	387	2841
24	399	2797
25	416	2788
26	424	2720
27	434	2669
28	444	2621
29	467	2650
30	480	2622
31	490	2572
32	497	2517
33	505	2469
34	514	2424
35	523	2386
36	532	2345
37	546	2331
38	556	2299
39	588	2352
40	597	2317
41	612	2304
42	625	2283
43	638	2265
44	642	2213
45	655	2195
46	668	2175
47	676	2141
48	692	2132
49	703	2109
50	709	2073
51	751	2139
52	767	2128
53	774	2094
54	785	2070
55	793	2041
56	806	2023
57	824	2019
58	831	1987
59	842	1965
60	854	1948
61	861	1918
62	873	1899
63	884	1878
64	890	1850
65	900	1827
66	906	1799
67	921	1789
68	935	1775
69	947	1760
70	961	1747
71	973	1730
72	983	1711
73	999	1701
74	1013	1688
75	1021	1667
76	1029	1644
77	1041	1628
78	1050	1608
79	1058	1587
80	1067	1568
81	1075	1548
82	1087	1533
83	1094	1511
84	1106	1497
85	1119	1484
86	1129	1466
87	1137	1447
88	1148	1431
89	1155	1411
90	1166	1397
91	1176	1380
92	1184	1362
93	1200	1353
94	1211	1339
95	1218	1319
96	1229	1305
97	1236	1287
98	1245	1270
99	1254	1254
100	1262	1237
101	1274	1224
102	1281	1206
103	1293	1193
104	1301	1177
105	1310	1162
106	1325	1152
107	1337	1139
108	1346	1124
109	1362	1114
110	1377	1104
111	1392	1093
112	1406	1082
113	1417	1069
114	1424	1052
115	1436	1040
116	1447	1026
117	1455	1011
118	1467	998
119	1474	982
120	1486	970
121	1497	957
122	1508	944
123	1517	929
124	1528	917
125	1536	902
126	1546	888
127	1555	874
128	1563	860
129	1574	847
130	1591	838
131	1598	823
132	1609	810
133	1616	796
134	1626	782
135	1633	768
136	1643	755
137	1651	741
138	1660	728
139	1670	716
140	1677	702
141	1687	689
142	1703	679
143	1712	665
144	1723	653
145	1735	641
146	1746	629
147	1757	617
148	1772	606
149	1784	594
150	1795	582
151	1804	569
152	1817	558
153	1828	546
154	1836	533
155	1848	521
156	1858	509
157	1866	496
158	1878	484
159	1885	471
160	1895	459
161	1904	446
162	1914	434
163	1925	422
164	1932	409
165	1941	397
166	1956	386
167	1972	375
168	1981	363
169	1988	350
170	2000	339
171	2008	326
172	2017	314
173	2025	302
174	2036	290
175	2044	278
176	2052	266
177	2068	255
178	2081	244
179	2095	232
180	2104	220
181	2117	209
182	2130	197
183	2144	186
184	2151	174
185	2161	162
186	2172	151
187	2180	139
188	2192	127
189	2203	115
190	2211	104
191	2222	92
192	2232	80
193	2239	69
194	2251	57
195	2260	46
196	2268	34
197	2280	23
198	2288	11
199	2299	0
